Index,Image,Output
14230,148006,Yes
14231,15741,Yes
14232,108429,Yes
14233,106143,Yes
14234,151510,Yes
14235,62043,Yes
14236,80907,Yes
14237,14278,Yes
14238,155401,Yes
14239,46487,Yes
14240,135557,Yes
14241,149312,Yes
14242,6786,Yes
14243,81551,Yes
14244,108659,Yes
14245,94359,Yes
14246,114117,Yes
14247,114342,Yes
14248,198932,Yes
14249,199474,Yes
14250,84643,Yes
14251,78554,Yes
14252,21178,Yes
14253,9284,Yes
14254,87999,Yes
14255,121356,Yes
14256,70629,Yes
14257,174199,Yes
14258,105214,Yes
14259,200254,Yes
14260,26816,No
14261,57328,Yes
14262,59187,Yes
14263,62728,Yes
14264,10192,Yes
14265,118751,Yes
14266,128748,Yes
14267,126446,Yes
14268,171123,Yes
14269,55160,Yes
14270,27639,No
14271,194325,No
14272,198483,Yes
14273,170416,Yes
14274,178959,Yes
14275,185979,Yes
14276,50435,Yes
14277,191661,Yes
14278,15100,Yes
14279,157856,Yes
14280,153856,Yes
14281,11900,Yes
14282,122787,Yes
14283,103758,Yes
14284,110917,Yes
14285,58917,Yes
14286,22572,Yes
14287,98643,Yes
14288,83653,Yes
14289,144092,Yes
14290,78772,Yes
14291,155700,Yes
14292,120194,Yes
14293,161354,Yes
14294,67295,Yes
14295,50111,Yes
14296,178342,Yes
14297,55472,Yes
14298,199574,Yes
14299,48858,Yes
14300,128753,Yes
14301,147229,Yes
14302,151144,Yes
14303,53374,Yes
14304,74641,Yes
14305,32688,Yes
14306,125793,Yes
14307,62742,Yes
14308,71580,Yes
14309,187392,Yes
14310,198520,Yes
14311,152077,Yes
14312,141008,Yes
14313,145142,Yes
14314,96429,Yes
14315,164994,Yes
14316,131987,Yes
14317,86859,Yes
14318,194504,Yes
14319,140612,Yes
14320,11911,Yes
14321,87464,Yes
14322,18214,Yes
14323,108965,Yes
14324,198690,Yes
14325,30917,Yes
14326,202781,Yes
14327,35194,Yes
14328,6492,Yes
14329,33841,Yes
14330,193280,Yes
14331,189617,Yes
14332,8709,Yes
14333,163821,Yes
14334,36278,Yes
14335,141940,Yes
14336,172778,Yes
14337,99342,Yes
14338,88542,Yes
14339,36274,Yes
14340,50315,Yes
14341,25388,Yes
14342,26431,No
14343,16116,Yes
14344,187660,Yes
14345,21714,Yes
14346,177789,Yes
14347,148658,Yes
14348,56369,Yes
14349,108221,Yes
14350,9655,Yes
14351,76179,Yes
14352,115679,Yes
14353,176338,No
14354,132703,Yes
14355,51944,Yes
14356,23052,Yes
14357,174163,Yes
14358,185026,Yes
14359,47049,Yes
14360,70699,Yes
14361,60231,Yes
14362,125610,Yes
14363,30115,Yes
14364,82585,Yes
14365,23949,Yes
14366,55164,Yes
14367,209576,Yes
14368,34418,Yes
14369,147046,Yes
14370,102170,Yes
14371,202809,Yes
14372,160788,Yes
14373,192195,Yes
14374,188789,Yes
14375,69827,Yes
14376,81997,Yes
14377,149189,Yes
14378,176133,Yes
14379,33798,Yes
14380,87472,Yes
14381,21314,Yes
14382,91612,Yes
14383,3169,Yes
14384,168122,Yes
14385,117801,Yes
14386,24781,Yes
14387,134078,Yes
14388,72604,Yes
14389,21943,Yes
14390,206649,Yes
14391,100966,Yes
14392,177884,Yes
14393,166627,Yes
14394,209211,Yes
14395,101004,Yes
14396,6214,Yes
14397,98828,Yes
14398,100620,Yes
14399,173295,Yes
14400,95345,Yes
14401,48156,Yes
14402,208371,Yes
14403,137421,Yes
14404,208199,Yes
14405,106497,Yes
14406,157234,Yes
14407,144848,Yes
14408,142128,Yes
14409,41925,Yes
14410,167941,Yes
14411,141416,Yes
14412,129348,Yes
14413,25773,Yes
14414,22219,Yes
14415,138498,Yes
14416,9860,Yes
14417,37571,Yes
14418,121254,Yes
14419,205059,Yes
14420,116300,Yes
14421,207953,Yes
14422,114777,Yes
14423,196245,Yes
14424,174533,No
14425,25202,Yes
14426,183624,Yes
14427,113255,Yes
14428,102432,Yes
14429,111123,Yes
14430,136113,Yes
14431,22966,Yes
14432,23229,Yes
14433,132963,Yes
14434,3480,Yes
14435,84736,Yes
14436,145261,Yes
14437,34137,Yes
14438,44426,Yes
14439,156448,Yes
14440,192485,Yes
14441,58785,Yes
14442,4007,Yes
14443,116946,Yes
14444,171623,Yes
14445,109279,Yes
14446,109935,Yes
14447,128845,Yes
14448,57517,Yes
14449,197511,Yes
14450,42683,Yes
14451,197653,Yes
14452,8956,Yes
14453,152741,Yes
14454,14321,Yes
14455,6010,Yes
14456,43040,Yes
14457,22593,Yes
14458,27076,Yes
14459,37459,Yes
14460,20253,Yes
14461,113974,Yes
14462,41875,Yes
14463,90448,Yes
14464,185908,Yes
14465,42287,Yes
14466,21763,Yes
14467,47799,Yes
14468,150983,Yes
14469,59792,Yes
14470,176875,Yes
14471,106307,Yes
14472,178524,Yes
14473,101322,Yes
14474,91928,Yes
14475,173021,Yes
14476,140698,Yes
14477,130383,Yes
14478,68713,Yes
14479,191721,Yes
14480,81533,Yes
14481,1827,Yes
14482,117220,Yes
14483,83467,Yes
14484,187827,Yes
14485,133409,Yes
14486,192927,Yes
14487,127335,Yes
14488,85180,Yes
14489,68313,No
14490,56612,Yes
14491,164576,Yes
14492,11413,Yes
14493,20225,Yes
14494,79821,Yes
14495,173990,Yes
14496,9391,Yes
14497,93883,Yes
14498,153968,Yes
14499,17452,Yes
14500,59915,Yes
14501,54833,Yes
14502,40498,Yes
14503,101462,Yes
14504,114386,Yes
14505,177634,Yes
14506,162248,Yes
14507,29429,Yes
14508,101640,Yes
14509,152609,Yes
14510,46103,Yes
14511,92535,Yes
14512,16235,Yes
14513,58746,Yes
14514,100719,Yes
14515,107254,Yes
14516,22460,Yes
14517,59520,Yes
14518,207829,Yes
14519,133094,Yes
14520,205456,Yes
14521,87747,Yes
14522,111907,Yes
14523,110194,Yes
14524,5337,Yes
14525,125059,Yes
14526,50770,Yes
14527,62377,Yes
14528,143377,Yes
14529,132540,Yes
14530,144539,Yes
14531,159507,Yes
14532,129251,Yes
14533,205197,Yes
14534,156664,Yes
14535,89567,Yes
14536,2106,Yes
14537,175628,Yes
14538,64044,Yes
14539,60268,Yes
14540,116405,Yes
14541,103851,Yes
14542,191597,Yes
14543,112605,Yes
14544,127952,Yes
14545,126055,Yes
14546,4293,Yes
14547,140888,Yes
14548,196749,Yes
14549,158474,Yes
14550,94626,Yes
14551,66011,Yes
14552,116796,Yes
14553,133739,Yes
14554,67369,Yes
14555,90274,Yes
14556,58799,Yes
14557,53318,Yes
14558,96226,Yes
14559,24758,Yes
14560,88104,Yes
14561,26944,Yes
14562,31815,Yes
14563,132104,Yes
14564,145735,No
14565,161489,Yes
14566,185553,Yes
14567,143015,Yes
14568,4574,Yes
14569,67496,Yes
14570,116484,Yes
14571,85461,Yes
14572,61603,Yes
14573,98454,Yes
14574,78719,Yes
14575,56995,Yes
14576,1087,Yes
14577,161956,No
14578,158631,Yes
14579,105293,Yes
14580,75041,Yes
14581,62111,Yes
14582,166994,Yes
14583,74070,Yes
14584,174182,Yes
14585,22239,Yes
14586,55744,Yes
14587,17564,Yes
14588,136656,Yes
14589,193175,Yes
14590,33135,Yes
14591,183627,Yes
14592,163935,Yes
14593,96931,Yes
14594,20006,Yes
14595,153396,Yes
14596,162886,Yes
14597,111418,Yes
14598,22676,Yes
14599,173020,Yes
14600,9539,Yes
14601,199444,Yes
14602,192661,Yes
14603,63027,Yes
14604,54691,Yes
14605,155326,Yes
14606,102654,Yes
14607,99266,Yes
14608,41708,Yes
14609,123728,Yes
14610,164101,Yes
14611,37448,Yes
14612,86556,Yes
14613,42447,Yes
14614,117268,Yes
14615,183229,Yes
14616,76309,Yes
14617,66603,Yes
14618,133001,Yes
14619,48698,Yes
14620,119148,Yes
14621,91861,Yes
14622,5790,Yes
14623,160447,Yes
14624,160625,Yes
14625,111364,Yes
14626,7678,Yes
14627,180182,Yes
14628,164565,Yes
14629,191745,Yes
14630,91376,Yes
14631,164440,Yes
14632,200060,Yes
14633,17549,Yes
14634,195463,Yes
14635,152474,Yes
14636,48004,Yes
14637,152703,Yes
14638,59438,Yes
14639,144599,Yes
14640,81706,Yes
14641,145062,Yes
14642,158074,Yes
14643,157344,Yes
14644,187177,Yes
14645,153843,Yes
14646,145625,Yes
14647,127893,Yes
14648,62634,Yes
14649,61513,Yes
14650,90742,Yes
14651,66009,Yes
14652,3733,Yes
14653,57557,Yes
14654,104457,Yes
14655,90059,Yes
14656,94954,Yes
14657,96817,Yes
14658,132604,Yes
14659,1893,Yes
14660,186152,Yes
14661,34352,Yes
14662,196193,Yes
14663,61085,Yes
14664,61358,Yes
14665,12122,Yes
14666,27183,Yes
14667,52520,Yes
14668,130311,Yes
14669,71845,Yes
14670,8178,Yes
14671,90200,Yes
14672,48725,Yes
14673,1030,Yes
14674,127455,Yes
14675,178708,Yes
14676,114633,Yes
14677,133698,Yes
14678,171147,Yes
14679,84379,Yes
14680,99688,Yes
14681,72775,Yes
14682,130120,Yes
14683,186698,Yes
14684,201977,Yes
14685,209379,Yes
14686,51767,Yes
14687,202107,Yes
14688,139183,Yes
14689,184193,Yes
14690,124265,Yes
14691,8221,Yes
14692,87091,Yes
14693,113522,Yes
14694,25781,Yes
14695,209195,Yes
14696,9066,Yes
14697,86589,Yes
14698,101920,Yes
14699,66856,Yes
14700,45362,Yes
14701,29362,Yes
14702,93192,Yes
14703,5385,Yes
14704,88288,Yes
14705,27497,Yes
14706,38740,Yes
14707,122351,Yes
14708,105593,Yes
14709,189685,Yes
14710,185967,Yes
14711,134320,Yes
14712,140292,Yes
14713,99211,Yes
14714,92348,Yes
14715,103010,Yes
14716,25973,Yes
14717,77935,Yes
14718,40438,Yes
14719,21501,Yes
14720,18934,Yes
14721,125209,Yes
14722,178519,Yes
14723,16873,Yes
14724,111513,Yes
14725,116851,Yes
14726,6191,Yes
14727,194556,Yes
14728,100421,Yes
14729,79360,Yes
14730,90874,Yes
14731,139382,Yes
14732,65408,Yes
14733,57718,Yes
14734,115228,Yes
14735,74268,Yes
14736,6353,No
14737,192146,Yes
14738,109305,Yes
14739,135695,Yes
14740,135443,Yes
14741,137961,Yes
14742,172861,Yes
14743,73552,Yes
14744,33008,Yes
14745,118371,Yes
14746,89341,Yes
14747,55230,Yes
14748,110913,Yes
14749,36176,Yes
14750,45998,Yes
14751,129356,Yes
14752,67808,Yes
14753,14204,Yes
14754,161531,Yes
14755,52896,Yes
14756,139260,Yes
14757,82998,Yes
14758,114257,Yes
14759,67002,Yes
14760,133884,Yes
14761,180598,Yes
14762,90162,Yes
14763,66432,Yes
14764,117958,Yes
14765,10222,Yes
14766,97327,Yes
14767,119275,Yes
14768,118083,Yes
14769,146690,Yes
14770,205340,Yes
14771,117884,Yes
14772,137019,Yes
14773,61496,Yes
14774,38415,Yes
14775,32972,Yes
14776,121991,Yes
14777,21028,No
14778,90577,Yes
14779,74252,Yes
14780,86396,Yes
14781,48283,Yes
14782,123781,Yes
14783,121331,Yes
14784,44728,Yes
14785,36182,Yes
14786,169324,Yes
14787,20150,Yes
14788,83597,Yes
14789,131069,Yes
14790,139584,Yes
14791,126217,Yes
14792,115216,Yes
14793,172025,Yes
14794,170829,Yes
14795,203501,Yes
14796,482,Yes
14797,106527,Yes
14798,173663,Yes
14799,113723,Yes
14800,170752,Yes
14801,171658,Yes
14802,119664,Yes
14803,116873,Yes
14804,2269,Yes
14805,83685,Yes
14806,101358,Yes
14807,2890,Yes
14808,161840,Yes
14809,138152,Yes
14810,47320,Yes
14811,142490,Yes
14812,28721,Yes
14813,128674,Yes
14814,170091,Yes
14815,73101,Yes
14816,147618,Yes
14817,180184,Yes
14818,184271,Yes
14819,92935,Yes
14820,11275,Yes
14821,28961,Yes
14822,61996,Yes
14823,186739,Yes
14824,182405,Yes
14825,138535,No
14826,74212,Yes
14827,10341,Yes
14828,187832,Yes
14829,108969,Yes
14830,85595,Yes
14831,182728,Yes
14832,2599,Yes
14833,73205,Yes
14834,44876,Yes
14835,64411,Yes
14836,69478,Yes
14837,167998,Yes
14838,37157,Yes
14839,27005,No
14840,196418,Yes
14841,64742,Yes
14842,158892,Yes
14843,72964,Yes
14844,199827,Yes
14845,44335,Yes
14846,10976,Yes
14847,1050,Yes
14848,47794,Yes
14849,181170,Yes
14850,7263,Yes
14851,18450,Yes
14852,30806,Yes
14853,31915,Yes
14854,39857,Yes
14855,183638,Yes
14856,127414,Yes
14857,83427,Yes
14858,162466,Yes
14859,117231,Yes
14860,39606,Yes
14861,102964,Yes
14862,23159,Yes
14863,118195,Yes
14864,63281,Yes
14865,122908,Yes
14866,10874,Yes
14867,164145,Yes
14868,207157,Yes
14869,45113,Yes
14870,111408,Yes
14871,129408,Yes
14872,139902,Yes
14873,11404,Yes
14874,188512,Yes
14875,136734,Yes
14876,16788,Yes
14877,129399,Yes
14878,105482,Yes
14879,150299,Yes
14880,66010,Yes
14881,171926,Yes
14882,172742,Yes
14883,75815,Yes
14884,200029,Yes
14885,63823,Yes
14886,88268,Yes
14887,9096,Yes
14888,90231,Yes
14889,191749,Yes
14890,31221,Yes
14891,193961,Yes
14892,157280,Yes
14893,109402,Yes
14894,164887,Yes
14895,158853,Yes
14896,8800,Yes
14897,63827,Yes
14898,39462,Yes
14899,177394,Yes
14900,133687,Yes
14901,206210,Yes
14902,70855,Yes
14903,144612,Yes
14904,29712,Yes
14905,128886,Yes
14906,45431,Yes
14907,3043,No
14908,103464,Yes
14909,92068,Yes
14910,43814,Yes
14911,159275,Yes
14912,27846,Yes
14913,100883,Yes
14914,38187,Yes
14915,144469,Yes
14916,87941,Yes
14917,197743,Yes
14918,27583,Yes
14919,188252,Yes
14920,169086,Yes
14921,60840,Yes
14922,75690,Yes
14923,199501,Yes
14924,155480,Yes
14925,20058,Yes
14926,89893,Yes
14927,132509,Yes
14928,99229,Yes
14929,199960,Yes
14930,65425,Yes
14931,88082,Yes
14932,132608,Yes
14933,11165,Yes
14934,197211,Yes
14935,65994,Yes
14936,118552,Yes
14937,54918,Yes
14938,114004,Yes
14939,45905,Yes
14940,119934,Yes
14941,153189,Yes
14942,198693,Yes
14943,126569,Yes
14944,69273,Yes
14945,204488,Yes
14946,122844,Yes
14947,202780,Yes
14948,197477,Yes
14949,167962,Yes
14950,170472,Yes
14951,104857,Yes
14952,123094,Yes
14953,31326,Yes
14954,206115,Yes
14955,64918,Yes
14956,48849,Yes
14957,130658,Yes
14958,20335,No
14959,80426,Yes
14960,74154,Yes
14961,116594,Yes
14962,77011,Yes
14963,114666,Yes
14964,49949,Yes
14965,62846,Yes
14966,101396,Yes
14967,96928,Yes
14968,64403,Yes
14969,6409,Yes
14970,122224,Yes
14971,206139,Yes
14972,160876,Yes
14973,125492,Yes
14974,203658,Yes
14975,35961,Yes
14976,98673,Yes
14977,202414,Yes
14978,209946,Yes
14979,160998,Yes
14980,178279,Yes
14981,183565,Yes
14982,132,Yes
14983,200914,Yes
14984,184260,Yes
14985,121353,Yes
14986,144043,Yes
14987,40489,Yes
14988,145252,Yes
14989,96113,Yes
14990,191271,Yes
14991,88960,Yes
14992,155884,Yes
14993,103053,Yes
14994,191045,Yes
14995,164788,Yes
14996,176934,Yes
14997,88649,Yes
14998,25370,Yes
14999,166843,Yes
15000,184498,Yes
15001,126278,Yes
15002,64365,Yes
15003,74559,Yes
15004,166120,Yes
15005,197971,No
15006,39150,Yes
15007,75991,Yes
15008,131246,Yes
15009,3789,Yes
15010,96408,Yes
15011,129787,Yes
15012,200439,Yes
15013,3686,Yes
15014,189442,Yes
15015,177008,Yes
15016,71633,Yes
15017,28367,Yes
15018,94306,Yes
15019,77923,Yes
15020,19989,Yes
15021,138182,Yes
15022,177889,Yes
15023,40306,Yes
15024,66760,Yes
15025,31280,Yes
15026,194185,Yes
15027,183092,Yes
15028,175715,Yes
15029,80926,Yes
15030,137639,Yes
15031,24423,No
15032,96442,Yes
15033,11545,Yes
15034,130140,Yes
15035,159654,Yes
15036,202736,Yes
15037,43062,Yes
15038,208325,Yes
15039,176535,Yes
15040,36358,Yes
15041,106243,Yes
15042,50613,Yes
15043,43418,Yes
15044,88678,Yes
15045,177970,Yes
15046,179908,Yes
15047,203667,Yes
15048,127947,Yes
15049,149031,Yes
15050,164300,Yes
15051,33974,Yes
15052,18714,Yes
15053,52266,Yes
15054,209261,Yes
15055,44027,Yes
15056,76988,Yes
15057,127334,Yes
15058,4663,Yes
15059,45322,Yes
15060,28538,Yes
15061,119,Yes
15062,98879,Yes
15063,3824,Yes
15064,142000,Yes
15065,109025,Yes
15066,6966,Yes
15067,175335,Yes
15068,19370,Yes
15069,111982,Yes
15070,94992,Yes
15071,206304,Yes
15072,181759,Yes
15073,57382,Yes
15074,52328,Yes
15075,157420,Yes
15076,17650,Yes
15077,12724,Yes
15078,4682,Yes
15079,119520,Yes
15080,154868,Yes
15081,72846,Yes
15082,41918,Yes
15083,136257,Yes
15084,10312,Yes
15085,99337,Yes
15086,56294,Yes
15087,26187,Yes
15088,34709,Yes
15089,99475,Yes
15090,68898,Yes
15091,133475,Yes
15092,61492,Yes
15093,130715,Yes
15094,9430,Yes
15095,119603,Yes
15096,98788,Yes
15097,121571,Yes
15098,103103,Yes
15099,50777,Yes
15100,183112,Yes
15101,199742,Yes
15102,28113,Yes
15103,166820,Yes
15104,172111,Yes
15105,13875,Yes
15106,160127,Yes
15107,108244,Yes
15108,22613,Yes
15109,139602,Yes
15110,174025,Yes
15111,88654,Yes
15112,82068,Yes
15113,17881,Yes
15114,35347,Yes
15115,34543,Yes
15116,144833,Yes
15117,89387,Yes
15118,137138,Yes
15119,61629,Yes
15120,60497,Yes
15121,107846,Yes
15122,100302,Yes
15123,150233,Yes
15124,201400,Yes
15125,47101,Yes
15126,105747,Yes
15127,17657,Yes
15128,140831,Yes
15129,17461,No
15130,104519,Yes
15131,79849,Yes
15132,59114,Yes
15133,179386,Yes
15134,107651,Yes
15135,104581,Yes
15136,113177,Yes
15137,207915,Yes
15138,169823,Yes
15139,149845,Yes
15140,99191,Yes
15141,5408,Yes
15142,151353,Yes
15143,172710,Yes
15144,175047,Yes
15145,119554,Yes
15146,91127,Yes
15147,171692,Yes
15148,98807,Yes
15149,86542,Yes
15150,179097,Yes
15151,154730,Yes
15152,134388,Yes
15153,173787,Yes
15154,77894,Yes
15155,40186,Yes
15156,114276,Yes
15157,190005,Yes
15158,100723,Yes
15159,206406,Yes
15160,177508,Yes
15161,152147,Yes
15162,73486,Yes
15163,90769,Yes
15164,87457,Yes
15165,43108,Yes
15166,99864,Yes
15167,16973,Yes
15168,40886,Yes
15169,120221,Yes
15170,83179,Yes
15171,152381,Yes
15172,114290,Yes
15173,141817,Yes
15174,176104,Yes
15175,25304,Yes
15176,129544,Yes
15177,106315,Yes
15178,199329,Yes
15179,88181,Yes
15180,15632,Yes
15181,155459,Yes
15182,92881,Yes
15183,199119,Yes
15184,52251,Yes
15185,125342,Yes
15186,122725,Yes
15187,177182,Yes
15188,124240,Yes
15189,160316,Yes
15190,64904,Yes
15191,136025,Yes
15192,104278,Yes
15193,100315,Yes
15194,132071,Yes
15195,164299,Yes
15196,99096,Yes
15197,15646,No
15198,24078,No
15199,195781,Yes
15200,197784,Yes
15201,53068,Yes
15202,42048,Yes
15203,78166,Yes
15204,194618,Yes
15205,110435,Yes
15206,37575,Yes
15207,162751,Yes
15208,27472,Yes
15209,206507,Yes
15210,196684,Yes
15211,86576,Yes
15212,4381,Yes
15213,103009,Yes
15214,87890,Yes
15215,199330,Yes
15216,19387,Yes
15217,163708,Yes
15218,3679,Yes
15219,71157,Yes
15220,73675,Yes
15221,177893,Yes
15222,178327,Yes
15223,180955,Yes
15224,156317,Yes
15225,157662,Yes
15226,117703,Yes
15227,82448,Yes
15228,181307,Yes
15229,84494,Yes
15230,189731,Yes
15231,66608,Yes
15232,20401,No
15233,39787,Yes
15234,114453,Yes
15235,80063,Yes
15236,54015,Yes
15237,207413,Yes
15238,166842,Yes
15239,75102,Yes
15240,83869,Yes
15241,126756,Yes
15242,206528,Yes
15243,54401,Yes
15244,1285,Yes
15245,24519,Yes
15246,32034,Yes
15247,143841,Yes
15248,125779,Yes
15249,182973,Yes
15250,192221,Yes
15251,182991,Yes
15252,77870,Yes
15253,201476,Yes
15254,179826,Yes
15255,2475,Yes
15256,162789,Yes
15257,26006,Yes
15258,64498,Yes
15259,132070,Yes
15260,81894,Yes
15261,4088,Yes
15262,189731,Yes
15263,26850,Yes
15264,48037,Yes
15265,203187,Yes
15266,110491,Yes
15267,107824,Yes
15268,140673,Yes
15269,116517,Yes
15270,88351,Yes
15271,51464,Yes
15272,160302,Yes
15273,154651,Yes
15274,187467,Yes
15275,133147,Yes
15276,49834,Yes
15277,40275,Yes
15278,156086,Yes
15279,36675,Yes
15280,5005,Yes
15281,116833,Yes
15282,205830,Yes
15283,45288,Yes
15284,105411,Yes
15285,23179,Yes
15286,193739,Yes
15287,88248,Yes
15288,120713,Yes
15289,51987,Yes
15290,17438,Yes
15291,51696,Yes
15292,157067,Yes
15293,100373,Yes
15294,194956,Yes
15295,205041,Yes
15296,102842,Yes
15297,69073,Yes
15298,144561,Yes
15299,140543,Yes
15300,52268,Yes
15301,208403,Yes
15302,101719,Yes
15303,143238,Yes
15304,75597,Yes
15305,194323,No
15306,173127,Yes
15307,168091,Yes
15308,62299,Yes
15309,110556,Yes
15310,113292,Yes
15311,139145,Yes
15312,204914,Yes
15313,73054,Yes
15314,120328,Yes
15315,207228,Yes
15316,135011,Yes
15317,141008,Yes
15318,208888,Yes
15319,9140,Yes
15320,73178,Yes
15321,146687,Yes
15322,63506,Yes
15323,26125,No
15324,98839,Yes
15325,61698,Yes
15326,138407,Yes
15327,35871,Yes
15328,24587,Yes
15329,171569,Yes
15330,48813,Yes
15331,115824,Yes
15332,159095,Yes
15333,133469,Yes
15334,131779,Yes
15335,1707,Yes
15336,48869,Yes
15337,83645,Yes
15338,170120,Yes
15339,196191,No
15340,88877,Yes
15341,162197,Yes
15342,80308,Yes
15343,180956,Yes
15344,15657,Yes
15345,195824,Yes
15346,87287,Yes
15347,13062,Yes
15348,197811,Yes
15349,70418,Yes
15350,1514,Yes
15351,122531,Yes
15352,127167,Yes
15353,105286,Yes
15354,171346,Yes
15355,120844,Yes
15356,109823,Yes
15357,118251,Yes
15358,182441,Yes
15359,112909,Yes
15360,20289,Yes
15361,11621,Yes
15362,165314,Yes
15363,64228,Yes
15364,48989,Yes
15365,61019,Yes
15366,22498,Yes
15367,103715,Yes
15368,123752,Yes
15369,66608,Yes
15370,166556,Yes
15371,172598,Yes
15372,66538,Yes
15373,32777,Yes
15374,25156,Yes
15375,62627,Yes
15376,74963,Yes
15377,61710,Yes
15378,139926,Yes
15379,195689,Yes
15380,16776,Yes
15381,179127,Yes
15382,57771,Yes
15383,81802,Yes
15384,170207,Yes
15385,132583,Yes
15386,187843,Yes
15387,106924,Yes
15388,28544,Yes
15389,158914,Yes
15390,82985,Yes
15391,13655,Yes
15392,201292,Yes
15393,58041,Yes
15394,144886,Yes
15395,193273,Yes
15396,100329,Yes
15397,86710,Yes
15398,61062,Yes
15399,66972,Yes
15400,204505,No
15401,133804,Yes
15402,126251,Yes
15403,178047,Yes
15404,128225,Yes
15405,188670,Yes
15406,22278,Yes
15407,151164,Yes
15408,61678,Yes
15409,180039,Yes
15410,200625,Yes
15411,117067,Yes
15412,99631,Yes
15413,144119,Yes
15414,75480,Yes
15415,202158,Yes
15416,81643,Yes
15417,118413,Yes
15418,158350,Yes
15419,52020,Yes
15420,29368,Yes
15421,92624,Yes
15422,72030,Yes
15423,126322,Yes
15424,206560,Yes
15425,188367,Yes
15426,191842,Yes
15427,191930,Yes
15428,120855,Yes
15429,81387,Yes
15430,15014,Yes
15431,147039,Yes
15432,10418,Yes
15433,77733,Yes
15434,72225,Yes
15435,54411,Yes
15436,189191,Yes
15437,63180,Yes
15438,67018,Yes
15439,114126,Yes
15440,10156,Yes
15441,94980,Yes
15442,87421,Yes
15443,162704,Yes
15444,163720,Yes
15445,174573,No
15446,208554,Yes
15447,10982,Yes
15448,38039,Yes
15449,97691,Yes
15450,28819,Yes
15451,42911,Yes
15452,180916,Yes
15453,189948,Yes
15454,176988,Yes
15455,191070,Yes
15456,182278,Yes
15457,44455,Yes
15458,89826,Yes
15459,190282,Yes
15460,206379,Yes
15461,197308,Yes
15462,147898,Yes
15463,137299,Yes
15464,47817,Yes
15465,26666,No
15466,1305,Yes
15467,130681,Yes
15468,32893,Yes
15469,134631,Yes
15470,132368,Yes
15471,21821,Yes
15472,51843,Yes
15473,88409,Yes
15474,87803,Yes
15475,181248,Yes
15476,2333,Yes
15477,91907,Yes
15478,115026,Yes
15479,187047,Yes
15480,16956,Yes
15481,151219,Yes
15482,119532,Yes
15483,134224,Yes
15484,203620,Yes
15485,121833,Yes
15486,89475,Yes
15487,58432,Yes
15488,208401,Yes
15489,31298,Yes
15490,6663,Yes
15491,1545,Yes
15492,108764,Yes
15493,43612,Yes
15494,64297,Yes
15495,120488,Yes
15496,203984,Yes
15497,157216,Yes
15498,98,Yes
15499,166420,Yes
15500,46292,Yes
15501,96056,Yes
15502,179358,Yes
15503,108454,Yes
15504,69498,Yes
15505,95085,Yes
15506,156582,Yes
15507,87363,Yes
15508,37711,Yes
15509,135652,Yes
15510,106360,Yes
15511,98518,Yes
15512,101639,Yes
15513,56596,Yes
15514,141061,Yes
15515,87439,Yes
15516,90019,Yes
15517,174113,Yes
15518,40403,Yes
15519,810,Yes
15520,174544,Yes
15521,97651,Yes
15522,20464,Yes
15523,206340,Yes
15524,52528,Yes
15525,33161,Yes
15526,43408,Yes
15527,131304,Yes
15528,192492,Yes
15529,55168,Yes
15530,192995,Yes
15531,51741,Yes
15532,8391,Yes
15533,127633,Yes
15534,76404,Yes
15535,187264,Yes
15536,156195,Yes
15537,51364,Yes
15538,189339,Yes
15539,36666,Yes
15540,164584,Yes
15541,1814,Yes
15542,16338,Yes
15543,95710,Yes
15544,3021,Yes
15545,104747,Yes
15546,166015,Yes
15547,96666,Yes
15548,159187,Yes
15549,144533,Yes
15550,182986,Yes
15551,198778,Yes
15552,43220,Yes
15553,44393,Yes
15554,79040,Yes
15555,42752,Yes
15556,196354,Yes
15557,71020,Yes
15558,125172,Yes
15559,27285,Yes
15560,154692,Yes
15561,162463,Yes
15562,9717,Yes
15563,61539,Yes
15564,96900,Yes
15565,16135,Yes
15566,121005,Yes
15567,102269,Yes
15568,102451,Yes
15569,81736,Yes
15570,157740,Yes
15571,115251,Yes
15572,183002,Yes
15573,146478,Yes
15574,51962,Yes
15575,50478,Yes
15576,20106,Yes
15577,19393,Yes
15578,171767,Yes
15579,40050,Yes
15580,202525,Yes
15581,96332,Yes
15582,191262,Yes
15583,61849,Yes
15584,54714,Yes
15585,131376,Yes
15586,59176,Yes
15587,100508,Yes
15588,120993,Yes
15589,124632,Yes
15590,154927,Yes
15591,181716,Yes
15592,160005,Yes
15593,18285,Yes
15594,38185,Yes
15595,59621,Yes
15596,178649,Yes
15597,86457,Yes
15598,43132,Yes
15599,99372,Yes
15600,152120,Yes
15601,187471,Yes
15602,74468,Yes
15603,204085,Yes
15604,49531,Yes
15605,72067,Yes
15606,88542,Yes
15607,202413,Yes
15608,55562,Yes
15609,6622,Yes
15610,8586,Yes
15611,123527,Yes
15612,1693,Yes
15613,29943,Yes
15614,43230,Yes
15615,5292,Yes
15616,209260,Yes
15617,63223,Yes
15618,133464,Yes
15619,159004,Yes
15620,199952,Yes
15621,95584,Yes
15622,40364,Yes
15623,90998,Yes
15624,154237,Yes
15625,63465,Yes
15626,13569,Yes
15627,170036,Yes
15628,72347,Yes
15629,181513,Yes
15630,149690,Yes
15631,119909,Yes
15632,12294,Yes
15633,94357,Yes
15634,159460,Yes
